,predicted_mean
2310,178.49442979749142
2311,178.58933312539077
2312,178.5337429068889
2313,178.56673899001075
2314,178.54723882406242
2315,178.55877953787112
2316,178.55195262651645
2317,178.55599170524198
2318,178.55360214168618
2319,178.55501585710726
2320,178.55417947821525
2321,178.55467429554307
2322,178.55438155256684
2323,178.5545547446957
2324,178.5544522810533
2325,178.55451290042612
2326,178.554477036892
2327,178.5544982544174
2328,178.55448570173974
2329,178.55449312813437
2330,178.55448873454293
2331,178.5544913338723
2332,178.55448979606132
2333,178.55449070585854
2334,178.5544901676058
2335,178.554490486046
2336,178.55449029765094
2337,178.55449040910892
2338,178.55449034316834
2339,178.55449038218
2340,178.5544903591
2341,178.55449037275454
2342,178.55449036467624
2343,178.5544903694555
2344,178.554490366628
2345,178.55449036830078
2346,178.5544903673111
2347,178.5544903678966
2348,178.5544903675502
2349,178.5544903677551
2350,178.55449036763386
2351,178.5544903677056
2352,178.55449036766316
2353,178.55449036768826
2354,178.5544903676734
2355,178.55449036768218
2356,178.55449036767698
2357,178.55449036768005
2358,178.55449036767823
2359,178.5544903676793
2360,178.55449036767868
2361,178.55449036767905
2362,178.55449036767882
2363,178.55449036767897
2364,178.55449036767888
2365,178.55449036767894
2366,178.5544903676789
2367,178.55449036767894
2368,178.55449036767894
2369,178.55449036767894
2370,178.55449036767894
2371,178.55449036767894
2372,178.55449036767894
2373,178.55449036767894
2374,178.55449036767894
2375,178.55449036767894
2376,178.55449036767894
2377,178.55449036767894
2378,178.55449036767894
2379,178.55449036767894
2380,178.55449036767894
2381,178.55449036767894
2382,178.55449036767894
2383,178.55449036767894
2384,178.55449036767894
2385,178.55449036767894
2386,178.55449036767894
2387,178.55449036767894
2388,178.55449036767894
2389,178.55449036767894
2390,178.55449036767894
2391,178.55449036767894
2392,178.55449036767894
2393,178.55449036767894
2394,178.55449036767894
2395,178.55449036767894
2396,178.55449036767894
2397,178.55449036767894
2398,178.55449036767894
2399,178.55449036767894
2400,178.55449036767894
2401,178.55449036767894
2402,178.55449036767894
2403,178.55449036767894
2404,178.55449036767894
2405,178.55449036767894
2406,178.55449036767894
2407,178.55449036767894
2408,178.55449036767894
2409,178.55449036767894
2410,178.55449036767894
2411,178.55449036767894
2412,178.55449036767894
2413,178.55449036767894
2414,178.55449036767894
2415,178.55449036767894
2416,178.55449036767894
2417,178.55449036767894
2418,178.55449036767894
2419,178.55449036767894
2420,178.55449036767894
2421,178.55449036767894
2422,178.55449036767894
2423,178.55449036767894
2424,178.55449036767894
2425,178.55449036767894
2426,178.55449036767894
2427,178.55449036767894
2428,178.55449036767894
2429,178.55449036767894
2430,178.55449036767894
2431,178.55449036767894
2432,178.55449036767894
2433,178.55449036767894
2434,178.55449036767894
2435,178.55449036767894
2436,178.55449036767894
2437,178.55449036767894
2438,178.55449036767894
2439,178.55449036767894
2440,178.55449036767894
2441,178.55449036767894
2442,178.55449036767894
2443,178.55449036767894
