Price,Close,High,Low,Open,Volume
Ticker,SPY,SPY,SPY,SPY,SPY
Date,,,,,
2015-01-02,169.68783569335938,170.88556456408185,168.65531949719002,170.47255808561408,121465900
2015-01-05,166.6233367919922,168.8122661140158,166.3177160273211,168.6470660413276,169632600
2015-01-06,165.0539093017578,167.44934175106874,164.2609313452381,166.92894957322903,209151400
2015-01-07,167.11065673828125,167.44932502984875,165.9294644192436,166.3755058100245,125346700
2015-01-08,170.0760498046875,170.29082122362388,168.49837475641723,168.5148859394458,147217800
2015-01-09,168.7131805419922,170.50562750822505,168.10192629293343,170.48910371663968,158567300
2015-01-12,167.3914794921875,169.00221444503197,166.78849371110647,168.8452700051996,144396100
2015-01-13,166.92068481445312,169.72912357347792,165.62383853897953,168.60574554907672,214553300
2015-01-14,165.9130096435547,166.11125734633688,164.02144498652336,164.91352813914077,192991100
2015-01-15,164.39312744140625,166.86289849504993,164.2774861138506,166.54902209394717,176613900
2015-01-16,166.54898071289062,166.70592517642703,164.00485953482422,164.18658337639727,211879600
2015-01-20,166.90419006347656,167.44936168573867,165.3430259480595,167.18503146744484,130991100
2015-01-21,167.7467498779297,168.22583901130292,165.9790822636024,166.44164760507718,122942700
2015-01-22,170.2412872314453,170.37343973468046,167.12721463947537,168.4983992677013,174356000
2015-01-23,169.307861328125,170.24125991747914,169.17569624213647,169.98518533689273,117516800
2015-01-26,169.70437622070312,169.79523815908667,168.3827629216211,169.09313463881273,92009700
2015-01-27,167.46588134765625,168.60577072506626,166.63986834178553,167.6558608098982,134044600
2015-01-28,165.31825256347656,168.74620170511815,165.12827308965936,168.64708417164115,168514300
2015-01-29,166.8463897705078,167.1024518135914,164.1122758358799,165.51650818201227,173585400
2015-01-30,164.74826049804688,166.99501645954078,164.4839429399654,165.67340346122168,197729700
2015-02-02,166.78855895996094,166.87942090257002,163.4349478846863,165.24391853956578,163107000
2015-02-03,169.20046997070312,169.20873816577404,167.3089060809817,167.6806093444516,124212900
2015-02-04,168.55615234375,169.64649517574966,168.1018428304168,168.44051106798824,134306700
2015-02-05,170.25782775878906,170.40651668099608,169.14271756005886,169.2170557191821,97953200
2015-02-06,169.7869110107422,171.18287447397176,169.26651898259183,170.621179290516,125672000
2015-02-09,169.02703857421875,169.86130713891177,168.622287680321,169.1426798861956,87219000
2015-02-10,170.82774353027344,171.08380553916865,169.0683318377307,170.05955750358785,96164200
2015-02-11,170.92686462402344,171.3563949145991,170.01825788329432,170.6625470171787,91087800
2015-02-12,172.57061767578125,172.62844463006107,170.95989500311532,171.71982537678446,97545900
2015-02-13,173.28102111816406,173.33057988581692,172.43848425618765,172.6945588956595,93670400
2015-02-17,173.55361938476562,173.7270876879443,172.71935066023605,172.96714451626255,76968200
2015-02-18,173.5701446533203,173.6444828107608,172.9175872163378,173.18191747029533,80652900
2015-02-19,173.4461669921875,173.80961464663997,172.83492557693128,172.97534624270514,91462500
2015-02-20,174.48699951171875,174.56133766054108,172.4136987099765,173.03320849141335,140896400
2015-02-23,174.46224975585938,174.46224975585938,173.85925105800962,174.23922266755932,74411100
2015-02-24,174.9578399658203,175.1560876554852,174.0905236539817,174.38788888649893,72472300
2015-02-25,174.80911254882812,175.31298091762983,174.47044423780673,174.83389192729734,73061700
2015-02-26,174.60263061523438,174.87521641558922,173.99963205507456,174.7182719301766,72697900
2015-02-27,174.00787353515625,174.76780386009438,173.95831477978405,174.50347369283446,108076000
2015-03-02,175.10650634765625,175.16432070555928,174.05746627296082,174.10702503800874,87491400
2015-03-03,174.3878173828125,175.15601583681678,173.52876962108434,174.67692690286944,110325800
2015-03-04,173.65274047851562,173.86751196341103,172.68630660836746,173.79316120112242,114497200
2015-03-05,173.8427276611328,174.12356909840437,173.33885915122326,173.97488018199235,76873000
2015-03-06,171.39767456054688,173.41314802743403,171.06727444635007,172.98361779581307,188128000
2015-03-09,172.10812377929688,172.463303432065,171.43905505369207,171.5959995901104,89818900
2015-03-10,169.31617736816406,170.82778299344065,169.2748741885522,170.74518923817772,157121300
2015-03-11,168.9196319580078,169.7456448282181,168.8370256294043,169.57217657973325,110145700
2015-03-12,171.0673065185547,171.13337647061587,169.497874171987,169.5474329380123,93993500
2015-03-13,170.0182647705078,171.75288458432593,168.98574847515465,170.7947190412468,162410900
2015-03-16,172.289794921875,172.3806568570192,170.0430385291803,170.74515462838175,136099200
2015-03-17,171.77764892578125,172.15760780310515,170.96814720565243,171.5546219127697,94510400
2015-03-18,173.8427276611328,174.51179627508682,170.67082768526348,171.30686131999258,228808500
2015-03-19,173.04971313476562,173.85094670509045,172.6614860397028,173.4296846377479,117917300
2015-03-20,174.57720947265625,175.08332706439776,173.813886863184,173.9964219067773,177715100
2015-03-23,174.23699951171875,175.15796701554652,174.23699951171875,174.5854719915161,71784500
2015-03-24,173.25804138183594,174.568956856019,173.19166383146083,174.11263177005281,77805300
2015-03-25,170.7191162109375,173.6977496835964,170.6776413272634,173.46543463004932,159521700
2015-03-26,170.3125762939453,171.2252389858429,169.3584133966899,170.05537123840853,153067200
2015-03-27,170.70248413085938,170.87671404274337,170.00552650267113,170.19636661978635,118939000
2015-03-30,172.78501892089844,173.08371141679822,171.7147115290507,171.73129641311075,96180400
2015-03-31,171.27499389648438,172.66060427186957,171.21692146997367,171.963646532205,126768700
2015-04-01,170.66925048828125,171.26663537166056,169.68190567657894,171.24174538987097,137303600
2015-04-02,171.2833251953125,171.73135776912642,170.42042982765565,170.60296489926685,86900900
2015-04-06,172.43658447265625,172.9509945167097,170.262774121107,170.39551652393973,114368200
2015-04-07,171.98028564453125,173.2082386041695,171.947103201394,172.46151336146764,81236300
2015-04-08,172.56101989746094,173.0007599290921,171.81429488606952,172.20425493830373,89351900
2015-04-09,173.3243408203125,173.55665582878575,171.90556078000932,172.3950807864195,85548900
2015-04-10,174.2702178955078,174.31170543599447,173.37415285413942,173.57327279212356,72722900
2015-04-13,173.48202514648438,174.75977064265913,173.43224515628404,174.1291903395314,74436600
2015-04-14,173.8138885498047,173.99642359516923,172.6606058505757,173.28288096153133,75099900
2015-04-15,174.59378051757812,175.09989806919253,174.19552802686758,174.27850309836572,99529300
2015-04-16,174.5439910888672,175.05010861308017,174.0627635527124,174.26189611739576,68934900
2015-04-17,172.53614807128906,173.59816327762158,171.7562278847155,173.35755579846713,191113200
2015-04-20,174.11260986328125,174.44448491317723,173.3741771160743,173.45713954843745,92189500
2015-04-21,173.90516662597656,174.95058431814448,173.60647404818283,174.79293925483387,72559800
2015-04-22,174.75970458984375,174.94223959173425,173.3243145604123,174.24528201169025,78264600
2015-04-23,175.19944763183594,175.84661259165944,174.2452850760431,174.36144256472383,102585900
2015-04-24,175.6060333251953,175.87154345258304,175.15800081050318,175.6143384293135,61327400
2015-04-27,174.87594604492188,176.29472655151122,174.68510584935564,176.17027656329202,79358100
2015-04-28,175.43179321289062,175.4815731938354,173.68112547509182,174.85100566816996,86863500
2015-04-29,174.7099609375,175.30733337852325,173.90515080555448,174.5440107847622,125684900
2015-04-30,172.9592742919922,174.52740684652383,172.26231664314207,174.13744681855195,161304900
2015-05-01,174.8343963623047,174.87588389704135,173.63962625911066,173.7391862143041,103399700
2015-05-04,175.33224487304688,175.91303245626554,175.14970982400388,175.25756223646033,70927200
2015-05-05,173.3243408203125,175.44838364955402,173.1832933266122,175.09160603354397,113326200
2015-05-06,172.61082458496094,174.17895746152567,171.54880933841025,173.87197243782254,135060200
2015-05-07,173.2994842529297,173.72263947585762,172.1793965303919,172.5112715607244,88244900
2015-05-08,175.58116149902344,175.7802941151666,174.8842163328538,174.96719142130206,155877300
2015-05-11,174.74314880371094,175.80516398110535,174.66847882878935,175.53966651686653,75708100
2015-05-12,174.2203826904297,174.7596952253769,173.09199031203326,173.9133977765256,119727600
2015-05-13,174.253662109375,175.24929994623557,174.02134703611495,174.62702471566996,94667900
2015-05-14,176.07069396972656,176.1619615027784,174.9920811228103,175.26588372196588,95934000
2015-05-15,176.26148986816406,176.40253736481634,175.7802622947641,176.26148986816406,76510100
2015-05-18,176.80911254882812,177.0580124734228,176.02919235784495,176.0955698911435,74549700
2015-05-19,176.75100708007812,177.1990522131285,176.46891209125,176.92524966742405,72114600
2015-05-20,176.6265869140625,177.37331204809766,176.31129677913978,176.85059685814068,76857500
2015-05-21,177.14096069335938,177.34838570588087,176.31955308609574,176.48550322428738,64764600
2015-05-22,176.71783447265625,177.17415941398292,176.65145694332057,176.75930935079924,57433500
2015-05-26,174.81777954101562,176.6514220283665,174.4029295598266,176.228266945015,124308600
2015-05-27,176.47718811035156,176.70950309837983,174.8675680788576,175.27412563801573,93214000
2015-05-28,176.27809143066406,176.3859438363147,175.58943881822523,176.17022636479442,74974600
2015-05-29,175.18292236328125,176.25323018911732,174.91742484828134,176.21175530193312,124919600
2015-06-01,175.53965759277344,176.17851755936138,174.75143236349666,175.84664258087983,93338800
2015-06-02,175.36538696289062,176.05403946034752,174.46101702993104,175.08329201026015,91531000
2015-06-03,175.8300323486328,176.45230738355588,175.34051235961232,175.8964098715841,87820900
2015-06-04,174.3448944091797,175.78027210602187,174.0296043048185,175.1248145661451,151882800
2015-06-05,174.04623413085938,174.71828934303034,173.3907638092005,174.1955741067988,121704700
2015-06-08,172.97589111328125,174.08769898352278,172.90122113504552,173.93834636683118,89063300
2015-06-09,172.9510498046875,173.4903626731598,172.32048204394195,172.9510498046875,105034700
2015-06-10,175.02528381347656,175.4069515395513,173.65628331951808,173.71435575987715,134551300
2015-06-11,175.58941650390625,175.971071417342,175.23263891764168,175.46495390674622,73876400
2015-06-12,174.24530029296875,175.4649603607381,173.97149776140645,174.76801536778927,135382400
2015-06-15,173.49856567382812,173.78066063239635,172.403355608492,173.10860566512972,124384200
2015-06-16,174.4444122314453,174.52738728945883,173.17497233718007,173.34920223470553,85308200
2015-06-17,174.7265167236328,175.33220682776502,173.7059892874054,174.7265167236328,126708600
2015-06-18,176.54364013671875,177.00827030886364,174.75978944147187,175.32397960472704,165867900
2015-06-19,175.75982666015625,176.37679567828798,175.38464812718053,176.30176251605235,130478700
2015-06-22,176.6603240966797,177.24393676409846,176.45189009247287,176.6770023791208,70696000
2015-06-23,176.78536987304688,177.11887189486686,176.39352567033555,176.8687485589522,68476800
2015-06-24,175.50140380859375,176.89374121005542,175.47639274978548,176.51856260613104,92307300
2015-06-25,174.96780395507812,176.12669626422877,174.8927707826826,176.00164097690288,97107400
2015-06-26,174.93455505371094,175.56819005635953,174.38428604725476,175.32639940724718,104174800
2015-06-29,171.2660675048828,174.94284674557986,171.19103430939182,173.45879751078752,202621300
